rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
357.71,88064,12.249199999999998,215,408,43,0.021880385,-1.5544778048992156,-0.019898551184451208,2.758825330948457,420,0.2,0.3547529876232147,0.0003,0.021580636501312256,0.206005859375,,
,90000,,,,,0.026209554,-1.581773891672492,-0.022728084199479782,2.357576621323824,430,0.2,0.5614866614341736,0.0003,0.35333818197250366,0.21259765625,2.698,271.8
360.04,90112,12.8719,212,423,44,,,,,,,,,,,,
365.34,92160,13.5243,213,432,45,0.02238673,-1.5322985772043467,-0.0182094938470982,2.9475469519384205,440,0.2,0.19391395151615143,0.0003,0.1557050347328186,0.205126953125,,
360.72,94208,13.3782,213,442,46,0.02346812,-1.587357795238495,-0.01818180380796548,1.7457980722654611,450,0.2,0.23154029250144958,0.0003,0.32701385021209717,0.217724609375,,
364.58,96256,13.616600000000004,213,451,47,0.019393316,-1.5453518379479647,-0.02085748077952303,2.6055615679360926,460,0.2,0.19961516559123993,0.0003,0.2119739055633545,0.169482421875,,
366.97,98304,14.140000000000002,213,460,48,0.016238369,-1.539960090816021,-0.018789715587627143,2.3643505850806834,470,0.2,0.396465539932251,0.0003,0.26521921157836914,0.182666015625,,
,100000,,,,,0.021048807,-1.5175499107688666,-0.0183986706455471,3.1183950604870914,480,0.2,0.45514965057373047,0.0003,-0.08883607387542725,0.186328125,7.216000000000001,324.0
366.76,100352,13.638399999999999,211,475,49,,,,,,,,,,,,
368.76,102400,14.058200000000005,211,484,50,0.02149498,-1.4865613143891097,-0.02231049731053645,2.899970082566142,490,0.2,0.23483328521251678,0.0003,-0.24337315559387207,0.201806640625,,
372.82,104448,14.6982,211,492,51,0.022561267,-1.4286545801907777,-0.021919176293886268,1.6716190700419247,500,0.2,0.2659226953983307,0.0003,0.2816392183303833,0.200390625,,
370.68,106496,14.477,212,502,52,0.018430237,-1.4904350645840168,-0.021102647947554943,2.5565920205786825,510,0.2,0.3855934143066406,0.0003,0.08774983882904053,0.186669921875,,
386.14,108544,16.429800000000004,212,510,53,0.017732395,-1.4836762372404337,-0.021731688315048812,3.0889237081632017,520,0.2,0.5429359078407288,0.0003,-0.10418808460235596,0.195703125,,
,110000,,,,,0.014241819,-1.5062413636595011,-0.013906286514247768,4.285775346495211,530,0.2,0.5964065790176392,0.0003,0.06283891201019287,0.126025390625,33.946000000000005,599.0
379.9,110592,16.067700000000006,208,530,54,,,,,,,,,,,,
376.03,112640,14.9299,208,540,55,0.020554038,-1.4440876457840204,-0.024080626456998287,2.7563329002819956,540,0.2,0.2668716609477997,0.0003,0.1574794054031372,0.196630859375,,
377.52,114688,14.145600000000002,208,550,56,0.017661866,-1.5263202186673879,-0.019275261915754526,2.8266796367242932,550,0.2,0.3330395221710205,0.0003,0.30992376804351807,0.205029296875,,
383.6,116736,14.805800000000001,208,561,57,0.0193015,-1.5528172977268695,-0.017636090572341345,2.1024575585499408,560,0.2,0.23485323786735535,0.0003,0.2901439070701599,0.193896484375,,
388.11,118784,15.250499999999997,208,570,58,0.023187779,-1.5054022643715144,-0.022113568952772767,2.2086333625018595,570,0.2,0.11511620134115219,0.0003,0.0724097490310669,0.21005859375,,
,120000,,,,,0.020357084,-1.4527125891298056,-0.019312106049619616,1.7340384661220014,580,0.2,0.12614452838897705,0.0003,0.3088544011116028,0.203125,24.374,441.4
384.51,120832,15.0145,205,587,59,,,,,,,,,,,,
399.88,122880,16.267099999999996,205,598,60,0.017281234,-1.486882897093892,-0.019720960629638285,2.715524237323552,590,0.2,0.23652057349681854,0.0003,-0.0800560712814331,0.1607421875,,
401.96,124928,16.2879,205,607,61,0.01907437,-1.5123604517430067,-0.01320136126887519,1.485179504333064,600,0.2,0.39673319458961487,0.0003,0.3687058687210083,0.212646484375,,
412.34,126976,17.4906,206,615,62,0.0170879,-1.5128616217523814,-0.01671938849030994,2.8346532710827885,610,0.2,0.5488462448120117,0.0003,-0.007880806922912598,0.17099609375,,
