time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
298,77824,38,2.9849,260,290.36,2.886932878009975,0.2,0.014005780220031738,370,-0.014267376926727592,0.9160671234130859,0.179931640625,-1.9468894250690938,0.0003,0.01736411,,
307,79872,39,3.727199999999999,260,294.64,2.4422686555422843,0.2,0.32154446840286255,380,-0.014730759643134661,0.626535177230835,0.2193359375,-1.9282904371619225,0.0003,0.026726935,,
,80000,,,,,2.993024661950767,0.2,0.31381750106811523,390,-0.01522108851640951,0.4964955747127533,0.2140625,-1.969345835596323,0.0003,0.020905338,6.958,298.2
319,81920,40,4.0311,256,295.06,,,,,,,,,,,,
329,83968,41,3.7147,255,293.39,3.414982762001455,0.2,0.2006545066833496,400,-0.012165346994879655,1.3920031785964966,0.184423828125,-1.9178014315664769,0.0003,0.018619947,,
337,86016,42,3.933299999999999,254,295.29,2.3725453780032693,0.2,-0.047997236251831055,410,-0.011556609990657307,0.9923570156097412,0.17822265625,-1.8397827699780465,0.0003,0.016238084,,
346,88064,43,3.148,254,286.67,3.851652488671243,0.2,0.16987723112106323,420,-0.005976153499796055,1.3052226305007935,0.119189453125,-1.8036885548382997,0.0003,0.010639396,,
,90000,,,,,3.154271845519543,0.2,0.2585158348083496,430,-0.012721477719605901,0.6288382411003113,0.170263671875,-1.7941412035375834,0.0003,0.01712077,4.738000000000001,276.0
357,90112,44,2.7137000000000002,251,283.2,,,,,,,,,,,,
365,92160,45,3.8708999999999993,252,289.01,2.3301529593765737,0.2,0.3954012393951416,440,-0.011661956497118809,0.9051409959793091,0.180712890625,-1.8019879814237356,0.0003,0.03666175,,
372,94208,46,3.6775999999999995,252,289.68,2.6653364988043906,0.2,0.4532105326652527,450,-0.012370724155334755,0.49255675077438354,0.19677734375,-1.7913599666208029,0.0003,0.017471239,,
380,96256,47,4.4154,253,293.49,2.1418045891448854,0.2,0.6231803297996521,460,-0.01144061988161411,0.7261674404144287,0.176904296875,-1.602328898012638,0.0003,0.015722608,,
387,98304,48,4.979500000000001,253,299.97,3.6930988244712353,0.2,0.08736908435821533,470,-0.008488141166162677,2.136583089828491,0.18388671875,-1.7714438021183014,0.0003,0.018328065,,
,100000,,,,,2.9368729065172374,0.2,0.2667848467826843,480,-0.016260217942181042,1.1126518249511719,0.2359375,-1.6554149847477675,0.0003,0.030360732,-3.568,244.6
