time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
206848,524.344,357,579,1619.09,101,0.05,0.005183145,-0.0021110540692461655,-0.22173877744935452,29.533533096313477,0.0003,0.4419974684715271,0.2,30.40959666073322,1000,,
208896,533.2089,359,580,1645.07,102,0.05439453125,0.0100108115,-0.0023183463665191082,-0.21185028739273548,9.235904693603516,0.0003,0.4145326614379883,0.2,15.57369169294834,1010,,
210000,,,,,,0.04970703125,0.00690159,-0.0024489404604537413,-0.2091201724484563,7.636969566345215,0.0003,0.45406192541122437,0.2,24.940946424007414,1020,182.286,864.4
210944,536.6803000000001,364,578,1645.71,103,,,,,,,,,,,,
212992,536.8087,367,579,1626.87,104,0.052490234375,0.005074575,-0.0005524019754375332,-0.1932326113106683,14.093585014343262,0.0003,0.4976918697357178,0.2,22.048016065359114,1030,,
215040,544.5006000000001,370,580,1646.15,105,0.052001953125,0.0043553472,-0.00258581976959249,-0.2176007771398872,8.89560317993164,0.0003,0.4020550847053528,0.2,26.88899478316307,1040,,
217088,548.3009000000001,373,581,1644.43,106,0.047802734375,0.0041381065,-0.0008855636915541254,-0.2080510064959526,5.732810020446777,0.0003,0.43134284019470215,0.2,22.213890713453292,1050,,
219136,553.0329,376,582,1652.98,107,0.04833984375,0.0076270383,-0.002684855496045202,-0.21676609236747027,7.6237897872924805,0.0003,0.43360328674316406,0.2,18.82508416622877,1060,,
220000,,,,,,0.061962890625,0.0058708936,0.00029966016300022604,-0.23080979767255486,14.960722923278809,0.0003,0.5449714660644531,0.2,17.35669992864132,1070,463.51599999999996,1160.8
221184,556.8057000000001,381,579,1654.23,108,,,,,,,,,,,,
223232,553.9883,384,580,1638.8,109,0.059423828125,0.005771119,-0.0015294766169972717,-0.21375570276286454,9.494787216186523,0.0003,0.49550336599349976,0.2,15.86687873005867,1080,,
225280,554.6716,387,581,1630.35,110,0.055126953125,0.012965783,0.0019023844186449423,-0.20068661181721836,6.365618705749512,0.0003,0.404849112033844,0.2,18.32350526154041,1090,,
