rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
145.81260000000003,1083392,1907,567,529,592.1,23.326703864336015,-0.010396594111807645,5.877513885498047,0.2,5280,0.0003,0.30528247356414795,0.08984375,-0.6850230388343335,0.0079867225,,
144.9214,1085440,1910,568,530,596.58,37.407421046495436,-0.007918917894130573,19.438865661621094,0.2,5290,0.0003,0.17153042554855347,0.10927734375,-0.72684032805264,0.008234799,,
146.0354,1087488,1913,568,531,601.0,24.90504787415266,-0.006635197205469012,10.082889556884766,0.2,5300,0.0003,0.3110523223876953,0.0884765625,-0.7427890483289957,0.007808498,,
144.5308,1089536,1916,568,532,596.07,22.021551087498665,-0.008413199108326807,6.709606647491455,0.2,5310,0.0003,0.32942086458206177,0.07958984375,-0.6447776725515724,0.01316943,,
,1090000,,,,,22.768664264678954,-0.007491668459260836,7.619138240814209,0.2,5320,0.0003,0.306148886680603,0.085986328125,-0.6555085081607104,0.0051652906,753.0,287.58399999999995
145.796,1091584,1921,567,533,602.95,,,,,,,,,,,,
145.7698,1093632,1924,568,534,599.25,20.09229186475277,-0.004570194258121774,10.094819068908691,0.2,5330,0.0003,0.24322688579559326,0.071484375,-0.7002653282135725,0.0045555406,,
147.4734,1095680,1927,568,535,609.26,24.178551840782166,-0.003405381747870706,15.91470718383789,0.2,5340,0.0003,0.2614735960960388,0.0435546875,-0.7493616055697203,0.0040166704,,
149.53060000000002,1097728,1930,568,536,621.63,18.250764670968056,-0.00515176124026766,12.7044095993042,0.2,5350,0.0003,0.3702126741409302,0.067822265625,-0.7121962027624249,0.0072101485,,
150.3578,1099776,1933,568,537,625.36,26.517321726679803,-0.007287824325612746,12.544785499572754,0.2,5360,0.0003,0.3717137575149536,0.092529296875,-0.7010785553604364,0.008531262,,
,1100000,,,,,22.462248462438584,-0.00464568569441326,14.279879570007324,0.2,5370,0.0003,0.2101806402206421,0.059033203125,-0.6710135964676738,0.0042656087,1020.4,370.412
155.7116,1101824,1939,568,538,643.24,,,,,,,,,,,,
156.3842,1103872,1942,568,539,634.66,21.605181017518042,-0.004542694799602032,15.920177459716797,0.2,5380,0.0003,0.36593109369277954,0.080224609375,-0.6651516258716583,0.005423871,,
158.16379999999998,1105920,1945,568,540,640.87,30.9097626298666,-0.008527258866524789,10.947463035583496,0.2,5390,0.0003,0.24652117490768433,0.0732421875,-0.6755224905908108,0.011539955,,
153.27999999999997,1107968,1948,568,541,624.54,25.415764880180358,-0.010664002213161439,17.08837890625,0.2,5400,0.0003,0.16553455591201782,0.079541015625,-0.6745902823284269,0.009833322,,
,1110000,,,,,21.722131085395812,-0.00776973147148965,14.304672241210938,0.2,5410,0.0003,0.2079143524169922,0.06416015625,-0.6700397029519081,0.006320338,1776.0,475.5400000000001
150.71959999999999,1110016,1956,567,542,612.28,,,,,,,,,,,,
157.44979999999998,1112064,1959,567,543,636.49,20.458104410767554,-0.003972762182820588,8.31779670715332,0.2,5420,0.0003,0.28106486797332764,0.053173828125,-0.6233666637912393,0.0056515858,,
160.48479999999998,1114112,1962,567,544,645.06,21.343520456552504,-0.005690994168980978,5.313507080078125,0.2,5430,0.0003,0.3740459084510803,0.064306640625,-0.5562826658599078,0.0055501396,,
163.3028,1116160,1965,567,545,654.46,18.779804944992065,-0.00836085015325807,6.926446437835693,0.2,5440,0.0003,0.3807350993156433,0.0662109375,-0.6035934348590672,0.00637707,,
165.5844,1118208,1968,568,546,660.62,24.533727142214776,-0.00798409571434604,14.535357475280762,0.2,5450,0.0003,0.33799564838409424,0.0748046875,-0.6233738935552537,0.0053974944,,
,1120000,,,,,22.118833062052726,-0.003570719694835134,10.644692420959473,0.2,5460,0.0003,0.25352615118026733,0.0720703125,-0.6474795484915375,0.009259934,1179.2,469.43999999999994
166.28440000000003,1120256,1974,567,547,665.7,,,,,,,,,,,,
168.97460000000004,1122304,1977,567,548,671.47,24.114405325055124,-0.005163683595310431,4.137228012084961,0.2,5470,0.0003,0.2207213044166565,0.06455078125,-0.6637824330478906,0.0060302136,,
173.54859999999996,1124352,1980,567,549,688.26,28.541513654589654,-0.005253807548433543,15.595970153808594,0.2,5480,0.0003,0.21770399808883667,0.053955078125,-0.6801602931693196,0.005943969,,
179.04639999999995,1126400,1983,567,550,703.95,14.973889777064324,-0.0066113761597080154,4.22760009765625,0.2,5490,0.0003,0.36225593090057373,0.099560546875,-0.6805652664974332,0.009732585,,
179.21119999999996,1128448,1986,567,551,705.73,28.724370619654657,-0.0024653709697304294,18.156240463256836,0.2,5500,0.0003,0.22784829139709473,0.04619140625,-0.6321041364222765,0.0044253785,,
,1130000,,,,,27.664453864097595,-0.00977319140220061,8.566298484802246,0.2,5510,0.0003,0.2666955590248108,0.085595703125,-0.7005250629037618,0.007006219,1053.2,333.6840000000001
172.82120000000006,1130496,1992,567,552,684.55,,,,,,,,,,,,
174.737,1132544,1995,567,553,688.96,27.038227438926697,-0.008963484445121139,15.924556732177734,0.2,5520,0.0003,0.14659887552261353,0.081787109375,-0.6665213882923127,0.008418933,,
177.95779999999996,1134592,1998,567,554,698.26,32.52279173135757,-0.00864957952289842,11.379213333129883,0.2,5530,0.0003,0.2717081308364868,0.07509765625,-0.6258139830082655,0.0057725855,,
180.44619999999998,1136640,2001,567,555,709.11,35.66753298044205,-0.0073889798833988605,14.405675888061523,0.2,5540,0.0003,0.27747172117233276,0.074267578125,-0.600322003196925,0.005852437,,
177.2406,1138688,2004,568,556,694.04,19.76107855141163,-0.00333218609157484,8.889363288879395,0.2,5550,0.0003,0.37792325019836426,0.06943359375,-0.650111006386578,0.0068471837,,
,1140000,,,,,25.719558241963387,-0.007190412192721851,20.826152801513672,0.2,5560,0.0003,0.27828747034072876,0.088330078125,-0.7341450592502952,0.007779395,725.6,264.084
176.53140000000002,1140736,2009,567,557,694.43,,,,,,,,,,,,
