time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
606208,864,700,-15.593,56.93,296,2950,0.009033203125,-3.5773777961730957,-0.34702399633824826,1.1269276701142416e-06,0.2,0.0003,-0.008986189030110836,-0.00014243473997339607,0.0020274147,,
608256,867,701,-15.614999999999998,57.15,297,2960,0.041357421875,-1.0115766525268555,-0.3561654929071665,1.6437592063045514e-06,0.2,0.0003,-0.00942072831094265,-0.000386591930873692,0.0012559895,,
610000,,,,,,2970,0.041455078125,-4.26746940612793,-0.36132761323824525,1.2902970469852448e-08,0.2,0.0003,0.0036587256472557783,-0.0017353331408230589,0.004234047,-15.9,60.0
610304,870,700,-15.559999999999997,56.6,298,,,,,,,,,,,,
612352,873,700,-15.48,55.8,299,2980,0.0154296875,-5.678216457366943,-0.3440224866382778,2.9423484448898306e-08,0.2,0.0003,-0.009983249939978123,1.5867408365011215e-06,0.0012233173,,
614400,876,700,-15.508999999999999,56.09,300,2990,0.036474609375,-2.329796314239502,-0.3120568621437997,1.3563297711627343e-07,0.2,0.0003,-0.015051684342324734,-0.0019028230410185643,0.0032662083,,
616448,879,700,-15.587,56.87,301,3000,0.015087890625,-8.03658390045166,-0.3046326891053468,4.644246096585647e-07,0.2,0.0003,-0.0012438157573342323,-0.0022485377150587736,0.0019737764,,
618496,882,700,-15.691,57.91,302,3010,0.024853515625,-0.7283128499984741,-0.31827269177883866,6.36782908172151e-06,0.2,0.0003,-0.013859710656106472,-0.0007518639613408595,0.0013080253,,
620000,,,,,,3020,0.036865234375,-0.2946891784667969,-0.30868689017370343,2.3947710836580426e-08,0.2,0.0003,-0.005515784025192261,-0.00047406258527189494,0.0034558147,-16.28,63.8
620544,885,700,-15.742999999999997,58.43,303,,,,,,,,,,,,
622592,888,700,-15.815,59.15,304,3030,0.013427734375,-0.39070332050323486,-0.29457304966636,1.3609790805446664e-08,0.2,0.0003,-0.001984046772122383,-0.000724404799984768,0.0017227463,,
