rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
189.54,748,197,147456,72,-10.0,-0.0003639799542725086,-0.16014408406335862,0.005874923543160548,5.702056805603206e-05,710,0.9985645413398743,0.025439453125,0.0003,0.2,0.0009834612,,
191.17,748,199,149504,73,-10.0,0.009355689398944378,-0.1510081250220537,0.01894156689013471,-0.0018817097792634741,720,0.9960312247276306,0.03603515625,0.0003,0.2,0.0029445924,,
,,,150000,,,-0.0057821632362902164,-0.1678197751985863,0.013040407006337773,-0.00014756551245227457,730,0.9976839423179626,0.013232421875,0.0003,0.2,0.0010326307,-10.0,101.8
191.05,748,202,151552,74,-10.0,,,,,,,,,,,,
191.06,748,205,153600,75,-10.0,0.008744960650801659,-0.19538388000801205,0.014211293550033588,-0.002045756616280414,740,0.997347891330719,0.03876953125,0.0003,0.2,0.00461403,,
190.87,748,208,155648,76,-10.0,-0.009112671948969364,-0.1808087458834052,0.012459587709599873,-0.0023348391667241232,750,0.9975361227989197,0.057275390625,0.0003,0.2,0.00629411,,
190.66,748,210,157696,77,-10.0,-0.0034580312203615904,-0.15664106835611163,0.002959562970136176,0.0012980031868210062,760,0.998866856098175,0.035546875,0.0003,0.2,0.0037375425,,
190.85,748,213,159744,78,-10.0,0.004089122638106346,-0.1310264814295806,0.008717224776410149,-0.0015530032454989851,770,0.9981399178504944,0.02890625,0.0003,0.2,0.0029869494,,
,,,160000,,,-0.013204194605350494,-0.1518128617433831,0.015094256334123202,-0.0012479277502279729,780,0.9962954521179199,0.052783203125,0.0003,0.2,0.0056938017,-10.0,160.4
192.18,747,216,161792,79,-9.9,,,,,,,,,,,,
194.97,746,219,163840,80,-9.7,0.28241753578186035,-0.13252675568219274,0.9059841234353371,0.0003126441879430786,790,0.7958554625511169,0.006494140625,0.0003,0.2,0.0005610195,,
198.06,746,222,165888,81,-9.4,0.3744906783103943,-0.1319477846380323,1.7803356964781414,-0.0021457890514284374,800,0.6364930868148804,0.024462890625,0.0003,0.2,0.0020420658,,
198.33,746,225,167936,82,-9.4,0.2702910602092743,-0.11585391871631145,1.8973883032798766,-0.0004561366382404231,810,0.5249345302581787,0.00732421875,0.0003,0.2,0.0006082321,,
200.51,746,227,169984,83,-9.2,0.11671731621026993,-0.12408783661667258,0.27526023823302237,-0.0007380441966233775,820,0.7959136366844177,0.018603515625,0.0003,0.2,0.003520464,,
,,,170000,,,1.8849729299545288,-0.10580139837693422,2.2775281231850384,-0.0006889376614708454,830,0.40499645471572876,0.028857421875,0.0003,0.2,0.0014832474,-10.0,163.6
202.82,745,230,172032,84,-8.9,,,,,,,,,,,,
205.32,746,233,174080,85,-8.7,0.5948337316513062,-0.19920271546579899,2.26984619256109,-0.0019187529542250559,840,0.4520972967147827,0.030712890625,0.0003,0.2,0.0056857443,,
207.18,746,235,176128,86,-8.6,1.036163091659546,-0.12962464548181743,2.063317641476169,0.00021243464143481106,850,0.4772984981536865,0.011181640625,0.0003,0.2,0.00069681066,,
208.55,746,238,178176,87,-8.4,1.1171427965164185,-0.12851099513936787,2.010844609932974,0.0003873110093991272,860,0.5358683466911316,0.013623046875,0.0003,0.2,0.0007652071,,
,,,180000,,,0.1575513780117035,-0.12910155220888556,0.7176236858591437,0.0020937744149705393,870,0.6925716400146484,0.0283203125,0.0003,0.2,0.009798974,-10.0,188.2
208.75,745,241,180224,88,-8.3,,,,,,,,,,,,
209.63,745,244,182272,89,-8.1,0.07847047597169876,-0.1339948458247818,0.6377044022781775,-0.003150875690334942,880,0.8295339941978455,0.038330078125,0.0003,0.2,0.0030833748,,
206.97,745,247,184320,90,-8.3,0.5251120328903198,-0.14612810937687754,1.7406323828734458,-0.0002957353441161104,890,0.5038957595825195,0.0150390625,0.0003,0.2,0.0017073685,,
191.91,746,249,186368,91,-8.5,0.01792544312775135,-0.1473067984217778,0.18802102806512266,-0.007796155675896444,900,0.8715859055519104,0.07431640625,0.0003,0.2,0.04439608,,
189.66,746,252,188416,92,-8.7,1.5930813550949097,-0.2078405100153759,2.8663187485188244,-0.017552613937004934,910,0.36681634187698364,0.08271484375,0.0003,0.2,0.046142243,,
,,,190000,,,0.18451137840747833,-0.14691978367045522,0.16111592995002866,0.0009889376640785485,920,0.8825738430023193,0.0208984375,0.0003,0.2,0.009931589,-10.0,73.4
185.3,745,255,190464,93,-9.0,,,,,,,,,,,,
182.6,746,257,192512,94,-9.2,0.1566738486289978,-0.14253463244531303,0.21245778727461584,-0.0014029042707988993,930,0.9432356357574463,0.015625,0.0003,0.2,0.0018295357,,
179.5,746,260,194560,95,-9.4,0.014303447678685188,-0.16597612963523717,0.035890373296570036,-0.0008344615052919835,940,0.9819344282150269,0.0103515625,0.0003,0.2,0.00077859045,,
179.21,746,263,196608,96,-9.5,0.011073860339820385,-0.16566004639025778,0.018181193433701993,0.0003383556060725823,950,0.9908391237258911,0.013916015625,0.0003,0.2,0.00053210143,,
179.97,746,265,198656,97,-9.5,0.005644714459776878,-0.17468792567960917,0.009956596379197435,-0.0021820680471137167,960,0.9958670139312744,0.016552734375,0.0003,0.2,0.0012652585,,
,,,200000,,,0.4638218581676483,-0.14060210643801838,0.8071178365673404,-0.002652719334582798,970,0.8009248375892639,0.027734375,0.0003,0.2,0.0017427377,-8.0,143.8
175.91,746,268,200704,98,-9.8,,,,,,,,,,,,
180.17,746,271,202752,99,-9.8,0.020161867141723633,-0.22081128973513842,0.2541810482973233,-0.005543494349694811,980,0.9420009851455688,0.05166015625,0.0003,0.2,0.008604469,,
189.02,746,274,204800,100,-9.7,0.0007396815344691277,-0.13814055181574075,0.0162102981688804,-0.0044684230364509855,990,0.9956696033477783,0.02763671875,0.0003,0.2,0.0027395869,,
189.1,747,276,206848,101,-9.8,0.03780243173241615,-0.1563452730886638,0.9056202539475635,-0.0038575155136641114,1000,0.7986412048339844,0.02763671875,0.0003,0.2,0.0017544853,,
189.55,747,279,208896,102,-9.8,0.024406220763921738,-0.1383293735794723,0.07995382653316482,-0.002567105900379829,1010,0.9665579795837402,0.02734375,0.0003,0.2,0.002936413,,
,,,210000,,,0.020683202892541885,-0.09667997064534575,0.046422095601155886,-0.002549227772396989,1020,0.9844880104064941,0.03125,0.0003,0.2,0.009573953,-10.0,101.8
192.13,747,282,210944,103,-9.8,,,,,,,,,,,,
195.23,747,284,212992,104,-9.4,0.007378097157925367,-0.12685229759663344,0.03459359126718482,-0.0017227876640390604,1030,0.9940356016159058,0.025048828125,0.0003,0.2,0.0021274704,,
199.08,747,287,215040,105,-9.1,0.534223198890686,-0.09813147953245789,1.8193624491337688,-0.00299215487902984,1040,0.41683846712112427,0.022314453125,0.0003,0.2,0.0027224752,,
200.67,747,290,217088,106,-9.0,0.29869455099105835,-0.13155002472922206,2.2299890235066413,-0.0003087475226493552,1050,0.5344569683074951,0.005126953125,0.0003,0.2,0.00093519525,,
202.16,747,293,219136,107,-8.9,0.6382045149803162,-0.13657088133040815,1.3091522842878476,-0.006082476145820692,1060,0.49099409580230713,0.044140625,0.0003,0.2,0.017755311,,
,,,220000,,,2.110288619995117,-0.07909084669081494,2.345731476927176,-0.00043896451097680256,1070,0.2956203818321228,0.009326171875,0.0003,0.2,0.0007138938,-10.0,158.6
205.15,746,296,221184,108,-8.8,,,,,,,,,,,,
206.33,746,298,223232,109,-8.7,0.9267301559448242,-0.07145052523119375,1.310303204669617,0.0004215354158077389,1080,0.6322000026702881,0.010009765625,0.0003,0.2,0.0005826766,,
208.92,747,301,225280,110,-8.4,0.2593483030796051,-0.07654470591805876,1.170828734972747,-0.0006434659153455868,1090,0.7048288583755493,0.02236328125,0.0003,0.2,0.004428348,,
214.38,746,304,227328,111,-7.9,1.8548887968063354,-0.0799557832768187,1.992748040985316,-0.0012359650863800198,1100,0.45744848251342773,0.014501953125,0.0003,0.2,0.0008365193,,
215.87,747,307,229376,112,-7.8,1.8434653282165527,-0.08979246728122234,3.357812823355198,-0.0002957929755211808,1110,0.2577325105667114,0.005615234375,0.0003,0.2,0.000284695,,
,,,230000,,,0.15170107781887054,-0.10222352237906307,1.906271988293156,-0.0031086082075489686,1120,0.2537771463394165,0.024609375,0.0003,0.2,0.0058476105,-10.0,105.2
218.03,746,309,231424,113,-7.5,,,,,,,,,,,,
216.59,746,312,233472,114,-7.7,0.686377763748169,-0.10905559164239094,2.45270856898278,-0.0013693725981283934,1130,0.38931500911712646,0.022412109375,0.0003,0.2,0.014656855,,
218.71,747,315,235520,115,-7.6,0.7131910920143127,-0.08250490527134388,1.1035032823914661,-0.0018274246322107501,1140,0.7333271503448486,0.016162109375,0.0003,0.2,0.00042506843,,
219.8,747,317,237568,116,-7.5,0.33895328640937805,-0.078193911164999,2.055481337837409,-0.00016090690187411382,1150,0.5159064531326294,0.011083984375,0.0003,0.2,0.00066605327,,
219.84,747,320,239616,117,-7.5,1.464383602142334,-0.0717686185031198,2.523312795814127,-0.0003082412753428798,1160,0.5619949102401733,0.007568359375,0.0003,0.2,0.00047909954,,
,,,240000,,,1.2427361011505127,-0.07639922284288332,2.759033249178901,-0.0003686265859869309,1170,0.48343485593795776,0.017578125,0.0003,0.2,0.0005633538,-2.0,243.8
221.18,746,323,241664,118,-7.4,,,,,,,,,,,,
225.19,746,326,243712,119,-7.1,1.282631278038025,-0.06074707153602503,1.9981178752146662,-0.002720006657182239,1180,0.5805560350418091,0.02705078125,0.0003,0.2,0.0019973381,,
231.54,746,329,245760,120,-6.6,1.3571807146072388,-0.06830565498676151,2.7565859193913638,3.601193893700838e-05,1190,0.4848472476005554,0.01328125,0.0003,0.2,0.0035164524,,
229.64,746,331,247808,121,-6.8,2.1769309043884277,-0.09882289598463104,3.913590786233544,6.277703214436769e-05,1200,0.1153639554977417,0.015771484375,0.0003,0.2,0.0015525599,,
228.96,746,334,249856,122,-6.9,1.799151062965393,-0.05899363693315536,2.8544181792996826,-0.00011385927209630608,1210,0.12072813510894775,0.014697265625,0.0003,0.2,0.0010150683,,
,,,250000,,,0.8112461566925049,-0.12240791342919692,3.722386331297457,0.00018601614283397794,1220,0.127081036567688,0.0548828125,0.0003,0.2,0.012313108,-10.0,165.2
237.31,746,337,251904,123,-6.2,,,,,,,,,,,,
241.42,746,340,253952,124,-5.9,1.8772289752960205,-0.08236671788617969,3.37372458006721,0.0004721954610431567,1230,0.1886434555053711,0.010693359375,0.0003,0.2,0.00060583185,,
241.04,746,342,256000,125,-5.8,1.7267338037490845,-0.09763462314149365,3.839746366068721,-0.0003614357585320249,1240,-0.0127791166305542,0.02998046875,0.0003,0.2,0.006533151,,
