time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
222,4847,284.48,3.6,527,1079296,0.17431640625,1.645246290997602,-1.0658078594133258,-0.01652662534324918,0.0003,5260,0.019371917,0.08748254925012589,0.2,-0.03379833698272705,,
,,,,,1080000,0.1373046875,2.3870176865719257,-1.141490800306201,-0.012978799658594654,0.0003,5270,0.012989143,0.16258826851844788,0.2,0.23956239223480225,555.2,34.0
222,4865,286.11,4.1,528,1081344,,,,,,,,,,,,
222,4875,289.4,4.9,529,1083392,0.1943359375,1.376051615027245,-1.1172007352113724,-0.017884352699911687,0.0003,5280,0.027435128,0.015048634260892868,0.2,0.35357528924942017,,
222,4884,297.94,5.8,530,1085440,0.19912109375,2.289529070397839,-1.0474140848964453,-0.02023442158533726,0.0003,5290,0.019958347,0.13049910962581635,0.2,0.22600483894348145,,
222,4892,302.01,6.7,531,1087488,0.19111328125,1.6652944459579886,-1.1360417891293764,-0.014866376129793935,0.0003,5300,0.018278047,0.0967249870300293,0.2,0.019732773303985596,,
222,4901,301.34,7.1,532,1089536,0.159130859375,1.6231546980096028,-1.0491638544946909,-0.01189178602216998,0.0003,5310,0.015439013,0.04670082777738571,0.2,0.33774828910827637,,
,,,,,1090000,0.1623046875,1.1211820630822331,-1.0105679754167796,-0.018829317289055326,0.0003,5320,0.020198341,0.013933699578046799,0.2,0.38566404581069946,141.0,-8.0
222,4911,303.45,6.7,533,1091584,,,,,,,,,,,,
222,4919,295.36,6.0,534,1093632,0.171484375,2.2729944796068593,-1.05901781860739,-0.018240057345246898,0.0003,5330,0.019519642,1.1705976724624634,0.2,-0.015312790870666504,,
222,4927,300.37,6.5,535,1095680,0.2087890625,1.4895554622169584,-1.1462021596729755,-0.015318103149184026,0.0003,5340,0.026696585,0.09785187244415283,0.2,0.13404464721679688,,
222,4936,307.15,6.8,536,1097728,0.17578125,2.3821336618624627,-1.1804561000317335,-0.017377811839105563,0.0003,5350,0.019201627,0.26657408475875854,0.2,0.08312821388244629,,
222,4944,310.72,7.2,537,1099776,0.162109375,2.003015907667577,-1.1267758956179024,-0.01067101355001796,0.0003,5360,0.017894443,0.07518184930086136,0.2,0.21133536100387573,,
,,,,,1100000,0.188720703125,1.6276768478332087,-1.1038197964429854,-0.01596710904559586,0.0003,5370,0.020098772,0.1968967765569687,0.2,0.30256229639053345,257.6,4.0
222,4957,305.68,6.3,538,1101824,,,,,,,,,,,,
222,4965,313.42,7.0,539,1103872,0.205712890625,1.3721885524690152,-1.0817771824076772,-0.020046221659868024,0.0003,5380,0.02328036,0.018075041472911835,0.2,0.33458948135375977,,
222,4974,311.99,6.3,540,1105920,0.199658203125,1.6216482958057896,-1.071910098940134,-0.01830645042064134,0.0003,5390,0.02052795,0.08684557676315308,0.2,-0.10450947284698486,,
222,4983,312.88,6.5,541,1107968,0.19951171875,0.8600424845702946,-1.0605189591646194,-0.018476163290324622,0.0003,5400,0.022192964,0.09961086511611938,0.2,0.4359501600265503,,
,,,,,1110000,0.1759765625,1.4475723389303312,-1.0498855335637927,-0.020246629216126168,0.0003,5410,0.020772748,-0.0016939230263233185,0.2,0.25312864780426025,366.4,10.0
222,4997,315.44,6.9,542,1110016,,,,,,,,,,,,
222,5006,313.79,6.7,543,1112064,0.1986328125,1.5090845624450595,-1.1657398726791144,-0.020054081265698187,0.0003,5420,0.020282302,0.0835697129368782,0.2,0.394167959690094,,
222,5014,319.16,6.8,544,1114112,0.15908203125,2.344148446526378,-1.1311941787600517,-0.013894036735291593,0.0003,5430,0.020837728,0.29148751497268677,0.2,0.0014522075653076172,,
222,5022,310.68,6.6,545,1116160,0.18408203125,1.2053572033066302,-1.1166286952793598,-0.015885344982962124,0.0003,5440,0.024774589,0.013137780129909515,0.2,0.14303022623062134,,
222,5030,313.11,6.7,546,1118208,0.171875,1.6051078455522656,-1.1241160318255425,-0.016331507507129573,0.0003,5450,0.017922653,0.05235356092453003,0.2,0.40786266326904297,,
,,,,,1120000,0.140771484375,1.7804153311066329,-1.1577077239751816,-0.01533844807127025,0.0003,5460,0.016466415,0.040717095136642456,0.2,0.4494478106498718,179.8,-6.0
222,5041,315.4,6.8,547,1120256,,,,,,,,,,,,
222,5050,318.25,7.1,548,1122304,0.167822265625,2.76181287416257,-1.1235857173800468,-0.012583699671085923,0.0003,5470,0.016782407,0.20074410736560822,0.2,0.20124435424804688,,
222,5057,323.23,7.5,549,1124352,0.229150390625,1.5543849010253326,-1.2967787504196167,-0.02184825801232364,0.0003,5480,0.030695837,0.09409923106431961,0.2,0.49147480726242065,,
222,5065,335.98,9.4,550,1126400,0.17470703125,2.1211612223647536,-1.2956371203064918,-0.0107543206657283,0.0003,5490,0.017216645,1.1571985483169556,0.2,0.127829909324646,,
222,5074,328.97,8.6,551,1128448,0.15537109375,1.6974544543307275,-1.173213032633066,-0.016644875399651936,0.0003,5500,0.018352287,0.1819339245557785,0.2,0.21748870611190796,,
,,,,,1130000,0.20390625,1.5528433095663785,-1.1864523891359569,-0.020132395907421597,0.0003,5510,0.023675375,0.1459772288799286,0.2,0.3227975368499756,185.2,-4.0
222,5085,322.77,8.1,552,1130496,,,,,,,,,,,,
222,5093,320.01,7.9,553,1132544,0.183984375,2.108771570562385,-1.1131509440019727,-0.01885942622902803,0.0003,5520,0.02264567,0.0873292088508606,0.2,0.009924471378326416,,
222,5102,327.25,8.8,554,1134592,0.1923828125,1.8941911104600877,-1.1306482963263988,-0.015213564192526974,0.0003,5530,0.020982012,0.07289654016494751,0.2,0.17629224061965942,,
222,5110,330.83,9.3,555,1136640,0.17783203125,2.1411010772222654,-1.139272892475128,-0.019346983300056308,0.0003,5540,0.018123876,0.03254598379135132,0.2,-0.06454610824584961,,
222,5118,323.86,9.2,556,1138688,0.14169921875,1.6702353270258754,-1.2342949729412793,-0.012064327471307479,0.0003,5550,0.013620528,0.08039600402116776,0.2,0.2316298484802246,,
,,,,,1140000,0.1814453125,1.2805569761199878,-1.169721917435527,-0.014410508851869962,0.0003,5560,0.021285601,0.28548866510391235,0.2,0.38212817907333374,202.0,0.0
222,5129,328.81,9.6,557,1140736,,,,,,,,,,,,
222,5137,327.5,9.1,558,1142784,0.1802734375,1.7919684257823973,-1.181990496814251,-0.017074500929447824,0.0003,5570,0.018565428,0.443972647190094,0.2,0.21051692962646484,,
222,5144,334.79,10.0,559,1144832,0.20927734375,1.3140447545098142,-1.106280018389225,-0.017136693706561346,0.0003,5580,0.021983927,0.06069398671388626,0.2,0.4676055908203125,,
222,5153,333.77,9.9,560,1146880,0.153125,1.705453943228349,-1.1714463226497174,-0.01793197055521887,0.0003,5590,0.015697494,-0.0011145994067192078,0.2,0.24992650747299194,,
222,5162,336.54,10.0,561,1148928,0.19755859375,1.0115285991458223,-1.1614224426448345,-0.019821416490594858,0.0003,5600,0.021098306,0.02890833094716072,0.2,0.3800475597381592,,
,,,,,1150000,0.1427734375,2.378739552758634,-1.1082432275637983,-0.018995592900319026,0.0003,5610,0.017495885,0.29508477449417114,0.2,0.22002077102661133,261.4,-8.0
222,5174,324.56,8.5,562,1150976,,,,,,,,,,,,
222,5183,326.67,8.7,563,1153024,0.224658203125,1.3094574930146337,-1.1921595688909292,-0.02220345064124558,0.0003,5620,0.025634628,0.027840841561555862,0.2,0.28710436820983887,,
222,5192,321.49,8.3,564,1155072,0.184375,1.4698979708831756,-1.230069263279438,-0.012749428267125041,0.0003,5630,0.0159389,0.08837120980024338,0.2,0.2216867208480835,,
222,5200,325.34,8.8,565,1157120,0.181689453125,1.5764062564820052,-1.2033820621669293,-0.018129760869487654,0.0003,5640,0.018786933,0.02921365201473236,0.2,0.3771708011627197,,
222,5208,321.48,7.8,566,1159168,0.1716796875,1.6521769223734737,-1.2113304760307073,-0.014057865654467604,0.0003,5650,0.019655798,0.10921020805835724,0.2,0.6280150413513184,,
,,,,,1160000,0.18984375,1.4635446870932356,-1.001208433136344,-0.014581536874175072,0.0003,5660,0.024587687,0.0826551765203476,0.2,0.439458966255188,243.8,-2.0
222,5220,329.18,8.5,567,1161216,,,,,,,,,,,,
222,5228,332.95,8.6,568,1163264,0.1580078125,1.1958515720441938,-0.9859075002372265,-0.01776806766865775,0.0003,5670,0.017592963,0.04755576699972153,0.2,0.4224790930747986,,
222,5235,333.73,8.6,569,1165312,0.1525390625,2.9076176616363227,-1.1709479030221701,-0.01276757031737361,0.0003,5680,0.017446924,0.25522205233573914,0.2,0.22364085912704468,,
222,5243,331.55,8.2,570,1167360,0.137353515625,2.7370986132416872,-1.125594037771225,-0.013955244704266078,0.0003,5690,0.021733427,0.5205214023590088,0.2,0.30696219205856323,,
222,5252,322.55,7.0,571,1169408,0.159912109375,1.3279844886623322,-1.1208469266071917,-0.017183193458185995,0.0003,5700,0.015965484,0.07209809124469757,0.2,0.37787044048309326,,
,,,,,1170000,0.195458984375,2.0288596667349337,-1.238053571432829,-0.01579174330981914,0.0003,5710,0.02070577,0.15694257616996765,0.2,0.5776861906051636,218.4,-2.0
222,5263,322.97,6.5,572,1171456,,,,,,,,,,,,
222,5271,325.74,6.6,573,1173504,0.180224609375,1.112787499348633,-1.133877531066537,-0.02055980309378356,0.0003,5720,0.025236517,0.03937043249607086,0.2,0.590965747833252,,
222,5279,318.3,5.9,574,1175552,0.143701171875,1.78741994057782,-1.1169421046972274,-0.016513904249586632,0.0003,5730,0.02081813,0.16029202938079834,0.2,0.07099652290344238,,
222,5287,324.05,6.0,575,1177600,0.1826171875,1.5334180229343475,-1.1923137351870536,-0.0182140379678458,0.0003,5740,0.023055851,0.060486167669296265,0.2,0.3343442678451538,,
222,5295,327.7,6.3,576,1179648,0.1595703125,2.5435339889489113,-1.1628750815987587,-0.016654208571708295,0.0003,5750,0.02333355,0.18131044507026672,0.2,-0.24817180633544922,,
,,,,,1180000,0.125537109375,2.062774976668879,-1.2042812544852495,-0.01697423887962941,0.0003,5760,0.014543241,0.13163241744041443,0.2,0.3178277611732483,351.6,10.0
222,5308,321.47,5.6,577,1181696,,,,,,,,,,,,
222,5316,319.61,5.7,578,1183744,0.169140625,2.4746193937957286,-1.1915786951780318,-0.018709692801348866,0.0003,5770,0.020136112,0.054854102432727814,0.2,0.3475266695022583,,
222,5324,311.17,4.6,579,1185792,0.149755859375,1.5820755027700215,-1.1955869402736425,-0.014326410964713432,0.0003,5780,0.015130642,0.21024483442306519,0.2,0.4157562255859375,,
222,5332,315.0,5.2,580,1187840,0.162548828125,1.719542138883844,-1.1290672935545445,-0.01133415428630542,0.0003,5790,0.02250616,0.2681390345096588,0.2,0.4236624240875244,,
222,5340,311.06,4.8,581,1189888,0.187548828125,2.5423363836947828,-1.2958347860723733,-0.014868459550780245,0.0003,5800,0.02226298,0.14721998572349548,0.2,0.1691451072692871,,
,,,,,1190000,0.1978515625,2.222207595035434,-1.2663266353309155,-0.01718270377314184,0.0003,5810,0.017917767,0.15004493296146393,0.2,0.20183151960372925,246.0,-8.0
222,5352,310.5,4.8,582,1191936,,,,,,,,,,,,
222,5360,306.2,4.5,583,1193984,0.160986328125,2.410511930845678,-1.2511406932026148,-0.014625596832775044,0.0003,5820,0.017278519,0.3334808945655823,0.2,0.4034802317619324,,
222,5368,312.36,5.3,584,1196032,0.18408203125,1.731223745434545,-1.2953485175967216,-0.014981358198565432,0.0003,5830,0.019002356,0.14420431852340698,0.2,0.38755714893341064,,
222,5376,314.68,5.7,585,1198080,0.176025390625,1.888789360690862,-1.2146001521497964,-0.015649912619846874,0.0003,5840,0.019187871,0.16543155908584595,0.2,0.3864481449127197,,
,,,,,1200000,0.178564453125,1.4803056024480612,-1.2180942848324776,-0.019090229854919018,0.0003,5850,0.019359153,0.06617496907711029,0.2,0.41910648345947266,245.2,0.0
222,5388,315.62,6.1,586,1200128,,,,,,,,,,,,
222,5396,314.81,5.9,587,1202176,0.2111328125,1.6084651430137455,-1.247408240661025,-0.018419691268354653,0.0003,5860,0.021297313,1.327237606048584,0.2,0.36236679553985596,,
222,5405,307.31,5.5,588,1204224,0.1501953125,3.0827815203927456,-1.2747231423854828,-0.010800960985943676,0.0003,5870,0.013922131,1.2657135725021362,0.2,0.3019181489944458,,
222,5413,318.03,6.7,589,1206272,0.183251953125,1.4064653881592677,-1.0734024280682206,-0.022321571488282642,0.0003,5880,0.018636737,0.24473780393600464,0.2,0.2462642788887024,,
222,5421,319.84,6.7,590,1208320,0.1873046875,1.9385981897357851,-1.138689047843218,-0.01991138186713215,0.0003,5890,0.018383428,0.043688587844371796,0.2,0.2341061234474182,,
,,,,,1210000,0.176953125,2.061942053819075,-1.19687638618052,-0.015523538295383332,0.0003,5900,0.017476404,0.3600924015045166,0.2,0.2960575819015503,305.4,2.0
222,5433,323.78,6.7,591,1210368,,,,,,,,,,,,
222,5442,320.72,6.9,592,1212416,0.219189453125,1.520316225127317,-1.198789555579424,-0.023407807198236697,0.0003,5910,0.02035738,0.04744315147399902,0.2,0.24585431814193726,,
222,5449,324.07,7.5,593,1214464,0.180908203125,2.132175864465535,-1.1344550475478172,-0.020687337827985174,0.0003,5920,0.019709516,0.14169356226921082,0.2,0.3035507798194885,,
222,5457,327.81,7.8,594,1216512,0.187255859375,1.7194373428355902,-1.1975981313735247,-0.019233724419609643,0.0003,5930,0.022689914,0.12616270780563354,0.2,0.34715980291366577,,
222,5465,333.39,8.4,595,1218560,0.152001953125,3.0599775517359378,-1.1005753006786108,-0.01660156511934474,0.0003,5940,0.015540535,0.27083316445350647,0.2,0.32796889543533325,,
,,,,,1220000,0.142919921875,1.6448640211019665,-1.0681355388835072,-0.018247671652352436,0.0003,5950,0.01668282,0.08397657424211502,0.2,0.35560572147369385,243.2,-6.0
222,5476,326.09,7.5,596,1220608,,,,,,,,,,,,
222,5484,325.76,7.3,597,1222656,0.199853515625,1.6490201959852129,-1.0881763430312277,-0.021774600047501737,0.0003,5960,0.021991745,0.09387554228305817,0.2,0.34964966773986816,,
222,5492,326.59,7.4,598,1224704,0.178857421875,1.8028704802272841,-1.135226897522807,-0.019894180828123352,0.0003,5970,0.020067874,0.0306566059589386,0.2,0.40821874141693115,,
223,5500,330.62,7.9,599,1226752,0.16396484375,2.332939108926803,-1.1207862935960293,-0.016446735282079315,0.0003,5980,0.017789248,0.1791989505290985,0.2,0.11619752645492554,,
