time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
929,584,569.52,542720,265,79.324,0.0003,5.584817502647638,0.2,0.5174839496612549,4.29789400100708,0.0008135047,0.016552734375,2640,-0.0003980346577009186,-0.04782955850314465,,
932,584,574.35,544768,266,80.20299999999999,0.0003,9.240213705599308,0.2,0.3042232394218445,6.883080959320068,0.0012897172,0.011474609375,2650,-0.0018588495149742812,-0.03791264090832556,,
934,584,574.35,546816,267,80.20299999999999,0.0003,5.1046019897796215,0.2,0.509623110294342,2.65240216255188,0.00074859033,0.014990234375,2660,-0.00017939941608347,-0.04232663970033172,,
937,585,574.35,548864,268,80.20299999999999,0.0003,0.362443698127754,0.2,0.8714022636413574,0.07190483063459396,0.0008971322,0.02216796875,2670,0.0024170132208382713,-0.04563933314057067,,
,,,550000,,,0.0003,0.1676010004011914,0.2,0.9605061411857605,0.04059850424528122,0.0013660041,0.015283203125,2680,0.0012327076503424906,-0.049645413373946214,2347.2,402.82
946,581,631.26,550912,269,90.54700000000001,,,,,,,,,,,,
949,582,638.53,552960,270,91.868,0.0003,3.8366381262429057,0.2,0.6288584470748901,0.3059779405593872,0.0009293733,0.00966796875,2690,0.0006743245146935805,-0.04073408805124927,,
952,582,633.57,555008,271,90.877,0.0003,5.526771285291761,0.2,0.5143395662307739,0.4294455051422119,0.0006409221,0.01484375,2700,-0.0010255578061332926,-0.0504711943824077,,
955,583,608.88,557056,272,86.428,0.0003,7.804164603631944,0.2,0.3082004189491272,6.6327691078186035,0.0008346083,0.005419921875,2710,-3.176280588377267e-05,-0.04365070335479686,,
957,583,619.78,559104,273,88.40900000000002,0.0003,8.247103793174029,0.2,0.33209317922592163,7.835274696350098,0.0011973394,0.015283203125,2720,-0.001470390593749471,-0.043300034588901325,,
,,,560000,,,0.0003,4.1130565169267355,0.2,0.4378701448440552,0.4125475585460663,0.0005892962,0.011083984375,2730,0.0008283168892376125,-0.042409067128028256,448.4,60.48
961,583,632.91,561152,274,90.811,,,,,,,,,,,,
964,583,638.8,563200,275,91.99400000000001,0.0003,6.40596568658948,0.2,0.47359949350357056,4.590155601501465,0.0033961327,0.018505859375,2740,-0.001259030589426402,-0.04378594762056309,,
967,584,622.82,565248,276,89.20800000000001,0.0003,4.810993660148233,0.2,0.5746920108795166,4.561820030212402,0.002988733,0.01943359375,2750,0.0003813152099610306,-0.05300103216432035,,
970,584,629.83,567296,277,90.70100000000001,0.0003,3.426897041173652,0.2,0.6727195978164673,1.9616678953170776,0.00079093047,0.021240234375,2760,-0.00012651439174078406,-0.03583278353980859,,
973,584,643.48,569344,278,93.25400000000002,0.0003,9.0222372405231,0.2,0.5070580244064331,2.1762168407440186,0.0013676565,0.012646484375,2770,0.0001969086122699082,-0.04073720527376281,,
,,,570000,,,0.0003,5.380723201110959,0.2,0.4384218454360962,0.6557255983352661,0.00035334515,0.01962890625,2780,0.000873941832833225,-0.03948753815056989,2527.4,438.66
982,581,651.11,571392,279,94.611,,,,,,,,,,,,
985,581,674.36,573440,280,98.916,0.0003,5.189163911342621,0.2,0.6611074209213257,4.645599365234375,0.0015469061,0.021337890625,2790,0.00021732527675339953,-0.042485020884487315,,
988,582,689.93,575488,281,101.76000000000002,0.0003,2.014712074724957,0.2,0.6687208414077759,2.0053904056549072,0.0010169928,0.021875,2800,0.002582418898236938,-0.04310165832275743,,
991,582,709.45,577536,282,105.39500000000002,0.0003,5.96745957378298,0.2,0.39574456214904785,4.788336277008057,0.006464267,0.022900390625,2810,-0.002544715130352415,-0.04471000574849313,,
994,583,709.45,579584,283,105.39500000000002,0.0003,5.565878987684846,0.2,0.4388369917869568,3.05767822265625,0.0011050296,0.011328125,2820,0.0008963793428847566,-0.039233898681413845,,
,,,580000,,,0.0003,0.2671587225748226,0.2,0.925117015838623,0.07300467789173126,0.002319409,0.022802734375,2830,0.002499351347796619,-0.04335418168702745,4235.0,749.9999999999999
1007,577,738.35,581632,284,110.66100000000002,,,,,,,,,,,,
1010,577,746.83,583680,285,112.20200000000001,0.0003,6.302947397110984,0.2,0.5056573748588562,10.917813301086426,0.0014926502,0.02138671875,2840,-0.0030071283254073933,-0.04801367491818383,,
1012,578,768.15,585728,286,116.11600000000003,0.0003,3.9742741947993636,0.2,0.5742713809013367,0.5615144371986389,0.0021186147,0.013232421875,2850,0.001491228562372271,-0.04295093039363564,,
1015,578,772.09,587776,287,116.906,0.0003,7.603837439790368,0.2,0.31246501207351685,2.220676898956299,0.00028880232,0.01328125,2860,-0.00031551084102829916,-0.041389800293109145,,
1018,579,786.75,589824,288,119.56,0.0003,8.506199773028493,0.2,0.32680583000183105,1.9683440923690796,0.0006949076,0.00751953125,2870,-0.001149645503028296,-0.041661764541640875,,
,,,590000,,,0.0003,4.740267115179449,0.2,0.39686256647109985,2.1488099098205566,0.0005056084,0.01357421875,2880,0.0006849983154097572,-0.040218040435138394,3027.0,530.2
1028,575,807.34,591872,289,123.30199999999999,,,,,,,,,,,,
1031,575,814.91,593920,290,124.65299999999998,0.0003,2.6105712123215197,0.2,0.6182626485824585,0.13982509076595306,0.009477511,0.025,2890,0.00308157659455901,-0.04751177918369649,,
1034,576,815.14,595968,291,124.775,0.0003,7.011151122674346,0.2,0.32911497354507446,3.9149768352508545,0.00063219096,0.017578125,2900,0.0002540070272516459,-0.042955044003610963,,
1036,576,812.68,598016,292,124.331,0.0003,7.197305840067566,0.2,0.378679096698761,0.36656653881073,0.0020882492,0.021533203125,2910,0.002004524916992523,-0.044847734781797044,,
,,,600000,,,0.0003,5.2024897917173805,0.2,0.3642274737358093,1.2992464303970337,0.0004452416,0.012353515625,2920,-0.002336673538957257,-0.04611183489578252,871.0,134.42
1042,575,809.13,600064,293,123.67900000000002,,,,,,,,,,,,
1044,576,823.97,602112,294,126.54900000000002,0.0003,7.804781575314701,0.2,0.47779834270477295,1.160872459411621,0.0043277754,0.017529296875,2930,0.0015478593297302723,-0.04433490502851782,,
1047,576,833.88,604160,295,128.23300000000003,0.0003,3.4375981452874838,0.2,0.6032885313034058,5.569910526275635,0.003909341,0.025927734375,2940,0.0032995963731082155,-0.04246379317919491,,
1050,577,833.88,606208,296,128.23300000000003,0.0003,5.364199067559094,0.2,0.4297376275062561,1.574108362197876,0.002182146,0.017138671875,2950,-0.001983856296283193,-0.04690361792454496,,
1053,577,863.55,608256,297,133.47700000000003,0.0003,0.3427377420011908,0.2,0.806806206703186,0.1326986700296402,0.0032768608,0.02216796875,2960,0.002922893063805532,-0.04257275734926225,,
,,,610000,,,0.0003,10.555414826981723,0.2,0.0521201491355896,9.499113082885742,0.0011911825,0.014453125,2970,7.747683848720044e-05,-0.04355803381768055,480.8,61.739999999999995
1057,577,868.74,610304,298,134.29300000000003,,,,,,,,,,,,
1060,577,882.1,612352,299,136.71800000000002,0.0003,10.700051708891987,0.2,0.04597586393356323,2.658572196960449,0.004208629,0.021435546875,2980,-0.0027988519432256,-0.0491627793177031,,
1062,578,882.1,614400,300,136.71800000000002,0.0003,4.345734622143209,0.2,0.05808192491531372,3.118556499481201,0.0007075992,0.017431640625,2990,0.0003773934702621773,-0.040548781366669576,,
1065,578,916.91,616448,301,142.97100000000003,0.0003,0.5763551102951169,0.2,0.7123156189918518,0.19668550789356232,0.004608305,0.026904296875,3000,0.0002612848242279142,-0.048592690745135766,,
1068,578,915.17,618496,302,142.599,0.0003,7.343961483426392,0.2,0.4624662399291992,3.007927179336548,0.000851828,0.0166015625,3010,-0.001889834864414297,-0.0440836290596053,,
,,,620000,,,0.0003,7.832407902739942,0.2,0.4559450149536133,0.5277698636054993,0.0012734493,0.02578125,3020,-0.002516138894134201,-0.05345528863545042,3452.0,608.3399999999999
1080,574,919.02,620544,303,143.18200000000002,,,,,,,,,,,,
1082,575,944.91,622592,304,147.85000000000002,0.0003,3.2753306575585155,0.2,0.6083358526229858,0.19568398594856262,0.0041284855,0.020947265625,3030,0.0010965370704070665,-0.046219222339277624,,
1085,575,944.91,624640,305,147.85000000000002,0.0003,2.056171453767456,0.2,0.7369866967201233,0.14976048469543457,0.0017607388,0.01708984375,3040,-0.0007920951989945024,-0.04364174458605703,,
1088,575,985.93,626688,306,155.219,0.0003,0.21263486691750585,0.2,0.9564896821975708,0.04505029693245888,0.00079951563,0.01904296875,3050,0.0015457140587386675,-0.039987248133547836,,
1090,576,988.4,628736,307,155.862,0.0003,5.633315593749285,0.2,0.45391523838043213,1.4016311168670654,0.001093628,0.01650390625,3060,7.259155390784144e-05,-0.04278622475685552,,
,,,630000,,,0.0003,5.953710944950581,0.2,0.5107040405273438,1.3747944831848145,0.0017586569,0.0197265625,3070,-0.00042646014189813287,-0.04625611847150139,698.0,101.28
1095,575,998.07,630784,308,157.621,,,,,,,,,,,,
1098,576,971.03,632832,309,152.739,0.0003,6.0317439891397955,0.2,0.4382210373878479,7.380301475524902,0.007957285,0.014208984375,3080,0.0001817920507164672,-0.039220212848158555,,
1101,576,981.89,634880,310,154.716,0.0003,6.528155014663935,0.2,0.4622045159339905,1.096515417098999,0.0019497958,0.02197265625,3090,-1.9222465925849975e-05,-0.04300146408204455,,
1104,576,954.21,636928,311,149.47299999999998,0.0003,4.019817020837218,0.2,0.605435848236084,0.8426143527030945,0.0016761103,0.026123046875,3100,-0.003298712796822656,-0.04685577923082747,,
1107,577,961.56,638976,312,150.802,0.0003,9.992231964319945,0.2,0.11467915773391724,1.8318356275558472,0.00037219684,0.009033203125,3110,0.0005286228319164365,-0.04237378805701155,,
,,,640000,,,0.0003,8.103528490662574,0.2,0.23798060417175293,0.9431386590003967,0.0005110745,0.017724609375,3120,-0.0004612143849954009,-0.038072725817619356,3422.2,601.4
1118,572,982.13,641024,313,154.443,,,,,,,,,,,,
1121,573,983.33,643072,314,154.662,0.0003,6.3752511976286765,0.2,0.38581717014312744,2.9863333702087402,0.00054596306,0.016259765625,3130,-0.00026982724230038,-0.034037679524044503,,
1124,573,928.9,645120,315,144.764,0.0003,3.3466474095359446,0.2,0.39173638820648193,1.9909908771514893,0.0016310399,0.017724609375,3140,0.0002363114879699424,-0.04338669236967689,,
1127,574,928.37,647168,316,144.612,0.0003,3.6520947063341738,0.2,0.6059651374816895,6.601881980895996,0.008432003,0.026611328125,3150,0.003103056013060268,-0.035815880888549145,,
1130,574,928.37,649216,317,144.612,0.0003,9.98933259882033,0.2,0.050507307052612305,6.154873847961426,0.00079931784,0.018359375,3160,-0.0006776286667445674,-0.04723801823274698,,
,,,650000,,,0.0003,0.5439835645025596,0.2,0.7405531406402588,0.21649813652038574,0.0025423367,0.01875,3170,0.0028403809483279474,-0.038864249936887064,19902.4,3597.8000000000006
1184,549,951.31,651264,318,148.78699999999998,,,,,,,,,,,,
1187,550,980.51,653312,319,154.08299999999997,0.0003,3.6735864954069255,0.2,0.6305516958236694,4.096662998199463,0.0014341386,0.0197265625,3180,0.002001147008559201,-0.03811624133086298,,
1189,550,992.63,655360,320,156.285,0.0003,3.480143187241629,0.2,0.6118683218955994,0.10727391391992569,0.0030150167,0.013330078125,3190,0.0005805442910059355,-0.037518991841352545,,
1192,551,992.63,657408,321,156.285,0.0003,5.0804154060781,0.2,0.4991884231567383,0.9766137003898621,0.0002426364,0.011328125,3200,-0.0005015861373976804,-0.04176402144221356,,
1195,551,1002.36,659456,322,158.149,0.0003,0.25898865836206825,0.2,0.8878602981567383,0.11340373754501343,0.0014248545,0.01591796875,3210,0.00268978407693794,-0.036425469302048444,,
,,,660000,,,0.0003,2.0391727091511713,0.2,0.7514834403991699,0.06793184578418732,0.000919515,0.011572265625,3220,0.001028774373116903,-0.03826287046831567,4941.4,876.0799999999999
1211,546,1002.36,661504,323,158.149,,,,,,,,,,,,
1213,546,1038.91,663552,324,164.873,0.0003,0.1983270610217005,0.2,0.9484527707099915,0.06355971097946167,0.00060200255,0.01943359375,3230,0.002544656628742814,-0.03846209423645632,,
1216,547,1019.42,665600,325,161.33999999999997,0.0003,2.269726443081163,0.2,0.7498036026954651,0.13353335857391357,0.0017027669,0.013037109375,3240,0.0007814055556082167,-0.04114284322713502,,
1219,547,1040.04,667648,326,165.085,0.0003,6.32489943774417,0.2,0.4470580816268921,1.0982542037963867,0.00083349633,0.0091796875,3250,-0.0006062154119717888,-0.037432785487908404,,
1222,547,1047.51,669696,327,166.32699999999997,0.0003,3.695229164604098,0.2,0.6422795057296753,3.218045234680176,0.0015344396,0.01220703125,3260,-0.0005363184725865721,-0.037475585225911344,,
,,,670000,,,0.0003,2.6863351297564804,0.2,0.5754033327102661,0.2566136121749878,0.0023361107,0.013916015625,3270,0.0014936427047359756,-0.03519551848658011,10197.6,1833.3400000000001
1252,536,1056.0,671744,328,167.86899999999997,,,,,,,,,,,,
1255,536,1074.66,673792,329,171.12099999999998,0.0003,3.7628110633697363,0.2,0.5447248220443726,1.9191958904266357,0.0011625441,0.014697265625,3280,0.0008287940741865896,-0.041392296232515946,,
1257,537,1060.88,675840,330,168.456,0.0003,7.487387178651988,0.2,0.38418591022491455,3.231876850128174,0.00049708004,0.013134765625,3290,-0.00010473174334038048,-0.036335918193071845,,
1260,537,1077.85,677888,331,171.53900000000002,0.0003,8.268934331461788,0.2,0.46403074264526367,0.40589120984077454,0.0023501366,0.0150390625,3300,0.0005635978479404003,-0.032614972165902145,,
1263,538,1069.6,679936,332,169.72400000000002,0.0003,3.212050913181156,0.2,0.6579805612564087,1.1052294969558716,0.0026178635,0.029150390625,3310,0.0021499034977750854,-0.044975584953499494,,
,,,680000,,,0.0003,7.843928762897849,0.2,0.2861422896385193,1.918778419494629,0.00087545445,0.018408203125,3320,-0.000711302604759112,-0.036136663014804074,4978.4,883.74
1279,533,1063.64,681984,333,168.63299999999998,,,,,,,,,,,,
1282,533,1070.78,684032,334,169.84199999999998,0.0003,6.397777013666928,0.2,0.5517635345458984,1.2196663618087769,0.0013583116,0.0193359375,3330,-0.0009749565811944194,-0.03489386170404032,,
1284,533,1010.27,686080,335,158.841,0.0003,3.5049106603488327,0.2,0.7191503047943115,4.331369876861572,0.0047136596,0.02666015625,3340,0.0017110053027863613,-0.04339416619332041,,
1287,534,1010.79,688128,336,159.091,0.0003,10.665783776715397,0.2,0.2101290225982666,6.406575679779053,0.00085632515,0.01416015625,3350,-0.001527106374851428,-0.04123080395875149,,
,,,690000,,,0.0003,4.827557944972068,0.2,-0.047142863273620605,1.181381344795227,0.0031660313,0.012841796875,3360,0.00035533434129320085,-0.039854751415987266,4639.0,820.1
