time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
,,160000,,,,0.2,0.4452148973941803,0.8763863271335139,0.0003,0.195751953125,780,0.020444388,0.4739108085632324,-1.5369017593562604,-0.014038719603559003,328.4,2.7380000000000004
182,886,161792,0.1687999999999999,79,405.48,,,,,,,,,,,,
182,896,163840,-0.7945000000000003,80,391.7,0.2,0.7906594276428223,1.8479795369319618,0.0003,0.20712890625,790,0.022287419,0.23944979906082153,-1.5972411189228297,-0.01486736406222917,,
182,908,165888,-0.6251000000000001,81,394.78,0.2,0.2143021821975708,1.1099737426731735,0.0003,0.22822265625,800,0.017083168,0.26322096586227417,-1.6576843094080687,-0.012903002154780551,,
182,919,167936,-0.7988,82,392.13,0.2,0.04801441356539726,0.9727557903155685,0.0003,0.207958984375,810,0.021133395,0.3586859107017517,-1.4975751735270024,-0.014146959301433526,,
182,932,169984,-0.6123999999999997,83,393.51,0.2,0.045414820313453674,1.2182646103203296,0.0003,0.20224609375,820,0.01659704,0.08514124155044556,-1.5154288500547408,-0.012541861836507451,,
,,170000,,,,0.2,0.3472590446472168,1.0091795024462045,0.0003,0.194091796875,830,0.01594544,0.11199086904525757,-1.494949260726571,-0.010635706165339797,320.4,-3.184
181,948,172032,-1.0906999999999998,84,391.29,,,,,,,,,,,,
181,959,174080,-1.0910999999999995,85,391.35,0.2,0.011745043098926544,0.7827274320647121,0.0003,0.2166015625,840,0.015486803,0.5792653560638428,-1.5339305188506842,-0.013840084633557126,,
181,970,176128,-0.9168999999999998,86,393.95,0.2,0.18825004994869232,1.6516726820264012,0.0003,0.171044921875,850,0.017842226,0.11306792497634888,-1.5487204529345036,-0.012638699854142033,,
