rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
146.883,587,1275904,2172,627.33,623,6220,0.002705555,-0.09296799736330286,0.2,0.026904296875,-0.0014305144228274002,0.3098450303077698,27.625957834720612,0.0003,9.120569229125977,,
149.13099999999997,587,1277952,2175,641.61,624,6230,0.0032323876,-0.0955390639952384,0.2,0.02509765625,-0.002185697635286488,0.4905211925506592,16.760681530833246,0.0003,9.336524963378906,,
,,1280000,,,,6240,0.0063719237,-0.1065777292707935,0.2,0.030908203125,0.00022662838455289602,0.4381980895996094,14.45432644635439,0.0003,8.331500053405762,1269.0,145.48000000000002
150.409,586,1280000,2182,657.18,625,,,,,,,,,,,,
155.68900000000002,586,1282048,2185,674.26,626,6250,0.0043128156,-0.10451231226325035,0.2,0.037890625,-0.00124663984606741,0.4281309247016907,21.114870324730873,0.0003,14.178009033203125,,
158.44700000000003,586,1284096,2188,684.27,627,6260,0.0023204032,-0.09013562987092882,0.2,0.024853515625,-0.0010426992987049744,0.2998010516166687,19.894817045331003,0.0003,5.965417385101318,,
161.651,586,1286144,2191,699.04,628,6270,0.0072404873,-0.10135889862431213,0.2,0.041162109375,-0.0028129681217251346,0.33422577381134033,20.953677654266357,0.0003,7.238105773925781,,
162.10100000000003,586,1288192,2194,717.3,629,6280,0.0039584683,-0.09837719482602551,0.2,0.03310546875,-0.0017915763717610389,0.4111561179161072,12.425342506170272,0.0003,6.148375511169434,,
,,1290000,,,,6290,0.012384611,-0.12015100938733667,0.2,0.049365234375,-0.0005480096180690453,0.518024742603302,8.267303604260087,0.0003,5.278007507324219,648.2,118.46000000000001
160.943,586,1290240,2199,739.24,630,,,,,,,,,,,,
160.943,586,1292288,2202,739.24,631,6300,0.016112782,-0.12746311335358768,0.2,0.05498046875,-0.003134256714838557,0.40183085203170776,17.14699696302414,0.0003,9.276056289672852,,
163.88300000000004,586,1294336,2205,750.54,632,6310,0.0028406964,-0.10857141462620348,0.2,0.034326171875,-0.001868445158470422,0.43305128812789917,17.351660203933715,0.0003,6.461670398712158,,
